document_id,citation_de,citations_list
2202098,1912591,['1912591']
796903,3969045,['3969045']
3970021,3917664,['3917664']
3252396,3252395,['3252395']
1657517,1289012,['1289012']
3882573,3882572,['3882572']
4157817,4157816,['4157816']
4099496,4099495,['4099495']
1505938,9003,['9003']
6403484,6097153; 6456987,"['6097153', '6456987']"
4150630,4120509,['4120509']
1624885,1455383,['1455383']
6224355,5963464,['5963464']
5224670,2218578,['2218578']
1441766,1385021,['1385021']
5258783,2055274,['2055274']
3985207,3937830,['3937830']
993368,802684,['802684']
6000889,5024097,['5024097']
1310263,808288,['808288']
5235816,3326624; 2013243,['2013243']
5872300,3062372,['3062372']
6046110,6046113,['6046113']
1185401,3032521; 1051670,['1051670']
5138296,4044366,['4044366']
7487850,7081951,['7081951']
5663720,2017633,['2017633']
4077445,3897133,['3897133']
2114341,4032092,['4032092']
1577961,1577962,['1577962']
890792,865800,['865800']
167637,3922917,['3922917']
550094,487423,['487423']
5932946,5178576,['5178576']
1055777,879361; 47216,"['879361', '47216']"
1264253,1150172,['1150172']
1903707,4015173,['4015173']
20354,4170044,['4170044']
1406520,978067,['978067']
65013,65012,['65012']
840859,637431,['637431']
812730,567238,['567238']
991401,4130526; 23863,"['4130526', '23863']"
562335,205670,['205670']
2133319,1520945,['1520945']
4054537,4054536,['4054536']
890872,221213,['221213']
1917014,1779944,['1779944']
4081645,3875374,['3875374']
4108910,4103241,['4103241']
7688591,7688602,['7688602']
2183184,871734; 2085937,"['871734', '2085937']"
6281022,5621493,['5621493']
6238102,5559905,['5559905']
1187334,205588,['205588']
5854853,5518752,['5518752']
4170044,3854367,['3854367']
5136570,5595466,['5595466']
7301184,7225927,['7225927']
801018,563394; 746164,"['563394', '746164']"
278980,3869945,['3869945']
6637984,5577478,['5577478']
7218676,5217531,['5217531']
5538119,5538118,['5538118']
3981444,3869618,['3869618']
4001428,3888309,['3888309']
6522678,6389678,['6389678']
1294960,1028215,['1028215']
32388,32387,['32387']
1274542,1274542,['1274542']
969579,4092208,['4092208']
4169425,3935749,['3935749']
4201553,4123221,['4123221']
1276021,1276023,['1276023']
1140108,792555,['792555']
800526,3826915,['3826915']
1180466,844437,['844437']
4029588,4029589,['4029589']
4030624,4020111,['4020111']
7674748,4000873,['4000873']
624947,624939,['624939']
1257302,799561; 958494,"['799561', '958494']"
2170777,1442157,['1442157']
3908273,3882261,['3882261']
2114476,1800280,['1800280']
4158961,3870209,['3870209']
5492650,2114254,['2114254']
